tX;tY;tZ;rX;rY;rZ;rW;time(s)
0.9521021;8.437221;-0.8344267;-0.07580598;0.9103534;-0.1925678;-0.3583684;3.766674
0.9465227;8.434625;-0.837105;-0.07580598;0.9103534;-0.1925678;-0.3583684;3.800007
0.945748;8.432881;-0.8410355;-0.07580598;0.9103534;-0.1925678;-0.3583684;3.833341
0.9408981;8.429512;-0.8458439;-0.07539476;0.9088588;-0.1879056;-0.3646681;3.866674
0.936961;8.428451;-0.848115;-0.07305375;0.9034308;-0.1708072;-0.3863946;3.900008
0.9318286;8.424642;-0.8518548;-0.06935538;0.8988196;-0.1541428;-0.404417;3.933341
0.9263775;8.420703;-0.8540914;-0.05444571;0.8831781;-0.1059968;-0.4536483;3.966674
0.9235079;8.41899;-0.8586904;-0.04370311;0.8693092;-0.07815747;-0.4860894;4.000008
0.9189717;8.418963;-0.8632209;-0.03446243;0.8528003;-0.0567365;-0.518001;4.033341
0.9143527;8.417168;-0.8645139;-0.02900802;0.8420452;-0.04551155;-0.5367003;4.066675
0.9090969;8.416236;-0.8658039;-0.02361667;0.830899;-0.03536991;-0.5547956;4.100008
0.9055821;8.416808;-0.8683372;-0.02081073;0.8259634;-0.0305575;-0.5625101;4.133341
0.9018363;8.41659;-0.8684217;-0.01636867;0.8178182;-0.02329027;-0.5747722;4.166675
0.8985763;8.414804;-0.8682331;-0.01623728;0.8115785;-0.02258097;-0.583581;4.200008
0.8913715;8.414686;-0.8698245;-0.01791512;0.812462;-0.02500051;-0.5822023;4.233342
0.8843787;8.414151;-0.8689606;-0.01791512;0.812462;-0.02500051;-0.5822023;4.266675
0.8776355;8.41396;-0.8681428;-0.01791512;0.812462;-0.02500051;-0.5822023;4.300008
0.8716362;8.41431;-0.8672686;-0.01791512;0.812462;-0.02500051;-0.5822023;4.333342
0.8663172;8.416124;-0.8671893;-0.01791512;0.812462;-0.02500051;-0.5822023;4.366675
0.8632606;8.413409;-0.8705015;-0.01791512;0.812462;-0.02500051;-0.5822023;4.400009
0.8579869;8.413243;-0.8745494;-0.01791512;0.812462;-0.02500051;-0.5822023;4.433342
0.8543774;8.411137;-0.8740425;-0.01859181;0.8143295;-0.02612498;-0.5795165;4.466675
0.8480671;8.409883;-0.8752079;-0.0186089;0.81395;-0.02611281;-0.5800493;4.500009
0.8448839;8.411282;-0.8783521;-0.01661167;0.8117543;-0.02311757;-0.5833049;4.533342
0.8402307;8.409199;-0.8782423;-0.005424622;0.8058944;-0.007384727;-0.5919884;4.566676
0.8377638;8.40703;-0.8791029;0.003703784;0.803192;0.004993974;-0.5956879;4.600009
0.8310509;8.404604;-0.8827455;0.01388227;0.8016243;0.01862873;-0.5973765;4.633342
0.8257304;8.406477;-0.8817403;0.03706374;0.7987436;0.04946535;-0.5984883;4.666676
0.8213089;8.406306;-0.8813094;0.0465004;0.7974765;0.06197493;-0.5983545;4.700009
0.8162851;8.408763;-0.8851781;0.0596595;0.7955349;0.07940482;-0.5977122;4.733343
0.8138519;8.411179;-0.8889191;0.07021632;0.7915235;0.09263239;-0.599983;4.766676
0.8070697;8.41434;-0.8904577;0.08192119;0.7867101;0.106979;-0.602438;4.800009
0.8012331;8.413278;-0.8940966;0.09472575;0.7823679;0.1228652;-0.6031846;4.833343
0.7972698;8.415252;-0.8956779;0.09804878;0.7809244;0.1268317;-0.603703;4.866676
0.7934374;8.418327;-0.8959224;0.1091599;0.7741457;0.1390292;-0.6078268;4.90001
0.7902775;8.41807;-0.8973526;0.1164226;0.7681075;0.1460033;-0.6124865;4.933343
0.7864593;8.417543;-0.898676;0.1214194;0.7638727;0.1506447;-0.6156802;4.966676
0.7818973;8.417942;-0.8977656;0.1257534;0.7601467;0.1545671;-0.6184433;5.00001
0.7783952;8.42086;-0.8978387;0.1252924;0.7581666;0.1528731;-0.6213816;5.033343
0.7756245;8.420559;-0.8990402;0.1238133;0.7579536;0.1507662;-0.6224518;5.066677
0.7694721;8.423761;-0.8984599;0.1238133;0.7579536;0.1507662;-0.6224518;5.10001
0.763271;8.427248;-0.9000232;0.1238133;0.7579536;0.1507662;-0.6224518;5.133343
0.7577607;8.427237;-0.9019748;0.1238133;0.7579536;0.1507662;-0.6224518;5.166677
0.7553204;8.429267;-0.9010389;0.1238133;0.7579536;0.1507662;-0.6224518;5.20001
0.7493627;8.43123;-0.9012619;0.1238133;0.7579536;0.1507662;-0.6224518;5.233344
0.7424366;8.4341;-0.9015293;0.1238133;0.7579536;0.1507662;-0.6224518;5.266677
0.73777;8.434481;-0.902175;0.1238133;0.7579536;0.1507662;-0.6224518;5.30001
0.7334663;8.436581;-0.9036323;0.1238133;0.7579536;0.1507662;-0.6224518;5.333344
0.7268652;8.438361;-0.9053074;0.1479503;0.7436497;0.1751918;-0.6280156;5.366677
0.7221985;8.438914;-0.907649;0.1823644;0.7228802;0.2082215;-0.6331124;5.400011
0.7180278;8.443741;-0.9069296;0.2171865;0.702378;0.2407344;-0.6336735;5.433344
0.7163686;8.4483;-0.9049786;0.2373606;0.6939735;0.2627498;-0.6269158;5.466677
0.714693;8.453783;-0.9076101;0.24876;0.6913422;0.2779177;-0.6188103;5.500011
0.7093163;8.456579;-0.9084517;0.259783;0.6914756;0.2968132;-0.6052076;5.533344
0.7037129;8.460824;-0.911261;0.2670941;0.6922814;0.3114866;-0.5936188;5.566678
0.701277;8.463121;-0.9105731;0.2723156;0.6927581;0.3226704;-0.5846488;5.600011
0.697176;8.466953;-0.912869;0.2747417;0.6931049;0.3283693;-0.5799105;5.633344
0.6919613;8.47061;-0.9150581;0.2756346;0.6939979;0.3318566;-0.5764232;5.666678
0.6899922;8.472219;-0.9164131;0.2756346;0.6939979;0.3318566;-0.5764232;5.700011
0.6850135;8.474805;-0.9183345;0.274903;0.6950489;0.3320797;-0.5753769;5.733345
0.6825855;8.476894;-0.9193834;0.2620905;0.7052603;0.3214985;-0.5749393;5.766678
0.6803182;8.482248;-0.918968;0.2582369;0.7072643;0.3165597;-0.5769583;5.800011
0.6779717;8.486726;-0.9199014;0.2582369;0.7072643;0.3165597;-0.5769583;5.833345
0.6728485;8.492399;-0.9214035;0.2582369;0.7072643;0.3165597;-0.5769583;5.866678
0.6683949;8.494675;-0.9200649;0.2582369;0.7072643;0.3165597;-0.5769583;5.900012
0.663935;8.500477;-0.9198951;0.2582369;0.7072643;0.3165597;-0.5769583;5.933345
0.6608;8.501723;-0.9205926;0.2582369;0.7072643;0.3165597;-0.5769583;5.966678
0.659412;8.50529;-0.9193925;0.2611707;0.7055134;0.3199421;-0.5759147;6.000012
0.6579111;8.511438;-0.9218586;0.2693583;0.7042954;0.3362145;-0.5642464;6.033345
0.6530602;8.513604;-0.9217378;0.2779585;0.7066975;0.3644608;-0.5389676;6.066679
0.649739;8.51627;-0.9248756;0.2795259;0.7082647;0.3738205;-0.529608;6.100012
0.6468295;8.522395;-0.9272975;0.2815579;0.715611;0.4128458;-0.4880415;6.133345
0.6420217;8.525723;-0.9299238;0.2785436;0.7214202;0.4440375;-0.4525451;6.166679
0.6421149;8.529629;-0.9314037;0.2753227;0.7234728;0.4715133;-0.422445;6.200012
0.6409992;8.532659;-0.9336085;0.2710369;0.7232778;0.4991887;-0.3927071;6.233346
0.6402435;8.53665;-0.9333962;0.2678473;0.7221301;0.5160416;-0.3748159;6.266679
0.6396486;8.541287;-0.9335325;0.2624002;0.719887;0.5382991;-0.3509173;6.300012
0.6375112;8.547029;-0.9327086;0.2572922;0.7173958;0.5557174;-0.3321479;6.333346
0.6373424;8.551074;-0.9343098;0.2521446;0.716601;0.5668262;-0.3187698;6.366679
0.6389571;8.557216;-0.9332149;0.2422027;0.7233834;0.5683525;-0.3082689;6.400012
0.6368043;8.563055;-0.9350889;0.2352861;0.7313139;0.5622982;-0.3060084;6.433346
0.6383634;8.568369;-0.93508;0.2352861;0.7313139;0.5622982;-0.3060084;6.466679
0.637327;8.572317;-0.9374325;0.2352861;0.7313139;0.5622982;-0.3060084;6.500013
0.6374754;8.57928;-0.9398047;0.2352861;0.7313139;0.5622982;-0.3060084;6.533346
0.637913;8.584478;-0.9383702;0.2352861;0.7313139;0.5622982;-0.3060084;6.566679
0.6370003;8.590302;-0.938706;0.2352861;0.7313139;0.5622982;-0.3060084;6.600013
0.6382279;8.593286;-0.9391565;0.2352861;0.7313139;0.5622982;-0.3060084;6.633346
0.6397762;8.599999;-0.9411904;0.2367082;0.7298918;0.5631076;-0.3068177;6.66668
0.6405643;8.60713;-0.9420754;0.2219824;0.7372082;0.5699074;-0.2871471;6.700013
0.6395854;8.610681;-0.941865;0.1925517;0.7524685;0.5777805;-0.2507684;6.733346
0.6392873;8.614084;-0.9417283;0.1653708;0.7676219;0.579101;-0.2192057;6.76668
0.6368292;8.62069;-0.945309;0.1460144;0.7768601;0.5805047;-0.1954036;6.800013
0.6366158;8.624438;-0.9465362;0.1272265;0.7848489;0.5816852;-0.1716626;6.833347
0.6336119;8.627468;-0.9466529;0.1153207;0.7897847;0.5817475;-0.1565603;6.86668
0.6306597;8.633459;-0.9478559;0.09609197;0.7966904;0.582022;-0.1315338;6.900013
0.6315019;8.638081;-0.9517478;0.08558964;0.8025768;0.5783042;-0.1187822;6.933347
0.6324891;8.643614;-0.952975;0.0694771;0.8130603;0.5694428;-0.09920063;6.96668
0.6331432;8.647484;-0.9570148;0.0602936;0.8207002;0.5612876;-0.08815973;7.000014
0.6336842;8.649719;-0.9591272;0.0519747;0.8287092;0.5517663;-0.07806186;7.033347
0.6318501;8.65678;-0.9611545;0.03909314;0.8403476;0.5371661;-0.06115768;7.06668
0.6300893;8.662335;-0.964728;0.03210552;0.8478022;0.5268123;-0.0516676;7.100014
0.6322331;8.666485;-0.9686061;0.03219286;0.8486461;0.5254138;-0.05199777;7.133347
0.6324466;8.670037;-0.9715155;0.03826908;0.847479;0.5258429;-0.06167668;7.166681
0.6328566;8.676217;-0.9743478;0.03826908;0.847479;0.5258429;-0.06167668;7.200014
0.6300633;8.679029;-0.9774352;0.03826908;0.847479;0.5258429;-0.06167668;7.233347
0.6318572;8.683168;-0.9789338;0.03826908;0.847479;0.5258429;-0.06167668;7.266681
0.6328623;8.685378;-0.9800695;0.03826908;0.847479;0.5258429;-0.06167668;7.300014
0.6344991;8.687632;-0.9835801;0.03826908;0.847479;0.5258429;-0.06167668;7.333348
0.6321884;8.690007;-0.9841561;0.03826908;0.847479;0.5258429;-0.06167668;7.366681
