tX,tY,tZ,rX,rY,rZ,rW,time(s)
1.833,9.09995,-2.3055,-0.02916691,0.9697884,-0.1468797,-0.1925775,4.500009
1.833,9.09995,-2.3055,-0.02916691,0.9697884,-0.1468797,-0.1925775,4.533342
1.833,9.09995,-2.3055,-0.0153315,0.9807186,-0.086014,-0.1748074,4.566676
1.833,9.09995,-2.3055,-0.01303769,0.9839893,-0.08111139,-0.1581646,4.600009
1.833,9.09995,-2.3055,-0.01334265,0.9827074,-0.07841609,-0.1672096,4.633342
1.833,9.09995,-2.3055,-0.01334265,0.9827074,-0.07841612,-0.1672096,4.666676
1.833,9.09995,-2.3055,-0.01106597,0.9817036,-0.06025526,-0.1802914,4.700009
1.833,9.09995,-2.3055,-0.009700185,0.9803378,-0.04987293,-0.1906737,4.733343
1.833,9.09995,-2.3055,-0.008622616,0.9798867,-0.0434221,-0.1945826,4.766676
1.833,9.09995,-2.3055,-0.008622617,0.9798867,-0.0434221,-0.1945826,4.800009
1.833,9.09995,-2.3055,-0.008622617,0.9798867,-0.0434221,-0.1945826,4.833343
1.833,9.09995,-2.3055,-0.008622617,0.9798867,-0.0434221,-0.1945826,4.866676
1.833,9.09995,-2.3055,-0.008622617,0.9798867,-0.0434221,-0.1945826,4.90001
1.833,9.09995,-2.3055,-0.008622617,0.9798867,-0.0434221,-0.1945826,4.933343
1.833,9.09995,-2.3055,-0.008622617,0.9798867,-0.0434221,-0.1945826,4.966676
1.833,9.09995,-2.3055,-0.008622617,0.9798867,-0.0434221,-0.1945826,5.00001
1.833,9.09995,-2.3055,-0.008622617,0.9798867,-0.0434221,-0.1945826,5.033343
1.833,9.09995,-2.3055,-0.008622617,0.9798867,-0.0434221,-0.1945826,5.066677
1.833,9.09995,-2.3055,-0.008622617,0.9798867,-0.0434221,-0.1945826,5.10001
1.833,9.09995,-2.3055,-0.008622617,0.9798867,-0.0434221,-0.1945826,5.133343
1.833,9.09995,-2.3055,-0.008622617,0.9798867,-0.0434221,-0.1945826,5.166677
1.833,9.09995,-2.3055,-0.008622617,0.9798867,-0.0434221,-0.1945826,5.20001
1.833,9.09995,-2.3055,-0.008622617,0.9798867,-0.0434221,-0.1945826,5.233344
1.833,9.09995,-2.3055,-0.008622617,0.9798867,-0.0434221,-0.1945826,5.266677
1.833,9.09995,-2.3055,-0.008622617,0.9798867,-0.0434221,-0.1945826,5.30001
1.833,9.09995,-2.3055,-0.008622617,0.9798867,-0.0434221,-0.1945826,5.333344
1.833,9.09995,-2.3055,-0.008622617,0.9798867,-0.0434221,-0.1945826,5.366677
1.833,9.09995,-2.3055,-0.008622617,0.9798867,-0.0434221,-0.1945826,5.400011
1.833,9.09995,-2.3055,-0.008622617,0.9798867,-0.0434221,-0.1945826,5.433344
1.833,9.09995,-2.3055,-0.008622617,0.9798867,-0.0434221,-0.1945826,5.466677
1.833,9.09995,-2.3055,-0.008622617,0.9798867,-0.0434221,-0.1945826,5.500011
1.833,9.09995,-2.3055,-0.008622617,0.9798867,-0.0434221,-0.1945826,5.533344
1.833,9.09995,-2.3055,-0.008622617,0.9798867,-0.0434221,-0.1945826,5.566678
1.833,9.09995,-2.3055,-0.008622617,0.9798867,-0.0434221,-0.1945826,5.600011
1.833,9.09995,-2.3055,-0.008622617,0.9798867,-0.0434221,-0.1945826,5.633344
1.833,9.09995,-2.3055,-0.008622617,0.9798867,-0.0434221,-0.1945826,5.666678
1.833,9.09995,-2.3055,-0.008622617,0.9798867,-0.0434221,-0.1945826,5.700011
1.833,9.09995,-2.3055,-0.008622617,0.9798867,-0.0434221,-0.1945826,5.733345
1.833,9.09995,-2.3055,-0.008622617,0.9798867,-0.0434221,-0.1945826,5.766678
1.833,9.09995,-2.3055,-0.008622617,0.9798867,-0.0434221,-0.1945826,5.800011
1.833,9.09995,-2.3055,-0.008622617,0.9798867,-0.0434221,-0.1945826,5.833345
1.833,9.09995,-2.3055,-0.008622617,0.9798867,-0.0434221,-0.1945826,5.866678
1.83086,9.099453,-2.310677,-0.008622617,0.9798867,-0.0434221,-0.1945826,5.900012
1.827298,9.098625,-2.319291,-0.008622617,0.9798867,-0.0434221,-0.1945826,5.933345
1.824665,9.098013,-2.32566,-0.008622617,0.9798867,-0.0434221,-0.1945826,5.966678
1.821048,9.097173,-2.334409,-0.008622617,0.9798867,-0.0434221,-0.1945826,6.000012
1.818744,9.096638,-2.339981,-0.008622617,0.9798867,-0.0434221,-0.1945826,6.033345
1.815509,9.095885,-2.347805,-0.008622617,0.9798867,-0.0434221,-0.1945826,6.066679
1.811766,9.095016,-2.356857,-0.008622617,0.9798867,-0.0434221,-0.1945826,6.100012
1.808223,9.094193,-2.365426,-0.008622617,0.9798867,-0.0434221,-0.1945826,6.133345
1.808223,9.094193,-2.365426,-0.008622617,0.9798867,-0.0434221,-0.1945826,6.166679
